ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
102323,https://github.com/cainlevy/presenting,13,3,3,373,2,3
5407,https://github.com/schmidt/contextr,13,3,5,2318,1,5
10995,https://github.com/TekNoLogic/StealYourCarbon,13,4,8,172,5,8
229359,https://github.com/josegonzalez/cakephp-calendar-helper,13,2,6,87,0,6
318040,https://github.com/RichardBronosky/resume,13,5,1,2431,0,1
33119,https://github.com/usergenic/skynet,13,3,2,172,0,2
353495,https://github.com/britg/sammy-google-analytics,13,3,6,15,1,6
275612,https://github.com/squeejee/shoppr,13,6,7,216,2,7
385203,https://github.com/EEHarbor/low_replace,13,7,1,64,0,1
102730,https://github.com/noelrappin/huddle,13,2,3,9983,0,3
297236,https://github.com/valda/garybash,13,5,8,15975,6,8
54681,https://github.com/Aissac/radiant-super-export-extension,13,3,3,245,1,3
239571,https://github.com/phuang/ibus-qt,13,3,8,615,0,8
5407,https://github.com/schmidt/contextr,13,3,5,2318,1,5
110888,https://github.com/joseph/knapsack,13,3,2,383,0,2
368794,https://github.com/mame/enumerabler,13,4,0,76,0,0
9838,https://github.com/medwards/free-library-on-rails,13,4,5,697,1,5
2403,https://github.com/sgala/gajim,13,5,7,25312,2,7
286886,https://github.com/bltzr/Z,13,9,2,9488,0,2
44570,https://github.com/tog/tog_vault,13,6,4,1483,0,4
54681,https://github.com/Aissac/radiant-super-export-extension,13,3,3,245,1,3
116193,https://github.com/weavejester/clojure-over-ajax,13,2,1,113,0,1
318040,https://github.com/RichardBronosky/resume,13,5,1,2431,0,1
10995,https://github.com/TekNoLogic/StealYourCarbon,13,4,8,172,5,8
385203,https://github.com/EEHarbor/low_replace,13,7,1,64,0,1
318040,https://github.com/RichardBronosky/resume,13,5,1,2431,0,1
33119,https://github.com/usergenic/skynet,13,3,2,172,0,2
275612,https://github.com/squeejee/shoppr,13,6,7,216,2,7
239571,https://github.com/phuang/ibus-qt,13,3,8,615,0,8
2403,https://github.com/sgala/gajim,13,5,7,25312,2,7
45395,https://github.com/miura1729/gcgraph,13,2,1,6,0,1
264749,https://github.com/phinze/jekyll-example-site,13,1,3,98,0,3
10995,https://github.com/TekNoLogic/StealYourCarbon,13,4,8,172,5,8
30744,https://github.com/mokolabs/styler,13,3,3,19,0,3
353495,https://github.com/britg/sammy-google-analytics,13,3,6,15,1,6
297236,https://github.com/valda/garybash,13,5,8,15975,6,8
268874,https://github.com/sunlightlabs/django-simplesurvey,13,2,2,103,0,2
9838,https://github.com/medwards/free-library-on-rails,13,4,5,697,1,5
222302,https://github.com/textmate/lisp.tmbundle,13,6,6,29,3,6
110888,https://github.com/joseph/knapsack,13,3,2,383,0,2
353495,https://github.com/britg/sammy-google-analytics,13,3,6,15,1,6
102730,https://github.com/noelrappin/huddle,13,2,3,9983,0,3
252812,https://github.com/stuartsierra/altlaw-backend,13,1,5,39503,0,5
30744,https://github.com/mokolabs/styler,13,3,3,19,0,3
33119,https://github.com/usergenic/skynet,13,3,2,172,0,2
45395,https://github.com/miura1729/gcgraph,13,2,1,6,0,1
264749,https://github.com/phinze/jekyll-example-site,13,1,3,98,0,3
222302,https://github.com/textmate/lisp.tmbundle,13,6,6,29,3,6
66950,https://github.com/srynot4sale/freeems-tuner,13,3,8,599,0,8
229359,https://github.com/josegonzalez/cakephp-calendar-helper,13,2,6,87,0,6
5407,https://github.com/schmidt/contextr,13,3,5,2318,1,5
239571,https://github.com/phuang/ibus-qt,13,3,8,615,0,8
318040,https://github.com/RichardBronosky/resume,13,5,1,2431,0,1
102546,https://github.com/breily/ruby2make,13,3,1,165,0,1
10995,https://github.com/TekNoLogic/StealYourCarbon,13,4,8,172,5,8
111345,https://github.com/addywaddy/couchsurfer,13,2,0,172,0,0
30744,https://github.com/mokolabs/styler,13,3,3,19,0,3
268874,https://github.com/sunlightlabs/django-simplesurvey,13,2,2,103,0,2
44570,https://github.com/tog/tog_vault,13,6,4,1483,0,4
45395,https://github.com/miura1729/gcgraph,13,2,1,6,0,1
286886,https://github.com/bltzr/Z,13,9,2,9488,0,2
33119,https://github.com/usergenic/skynet,13,3,2,172,0,2
